bfs_nr,metric,residual,zscore
13,capital_median_2022,20133.534427337872,0.425950960142922
14,capital_median_2022,93987.46445817269,1.9884263675531337
22,capital_median_2022,-24190.02381970806,-0.5117712396236828
23,capital_median_2022,42493.75025827272,0.8990102452159504
24,capital_median_2022,9680.837002973509,0.2048106273285335
25,capital_median_2022,44859.40084150678,0.9490586428744855
26,capital_median_2022,-53669.27175614165,-1.1354428561564103
27,capital_median_2022,-30791.004484277873,-0.6514235228383267
28,capital_median_2022,-43823.59633369767,-0.9271448588732728
29,capital_median_2022,52525.36343437007,1.1112419961567632
31,capital_median_2022,25720.315268558334,0.5441465343981169
33,capital_median_2022,-4262.311428636691,-0.09017471085408427
34,capital_median_2022,18539.89959287719,0.39223555412190936
35,capital_median_2022,25.514145716442727,0.0005397847508777371
37,capital_median_2022,-25126.128219284874,-0.5315757388899588
38,capital_median_2022,-47914.477532895195,-1.0136927415074704
39,capital_median_2022,-34339.27726916334,-0.7264918226952439
40,capital_median_2022,15037.209746978158,0.3181316202930973
41,capital_median_2022,24624.08117208822,0.5209542842932954
43,capital_median_2022,-47256.01912140282,-0.9997622022073993
51,capital_median_2022,-23378.854029879512,-0.4946098936084869
52,capital_median_2022,-24570.37560556877,-0.5198180735744797
53,capital_median_2022,-35691.61399784745,-0.7551022552101324
54,capital_median_2022,12536.006668123759,0.2652154342754129
55,capital_median_2022,-33212.34799516603,-0.7026501764107971
56,capital_median_2022,-49669.43484245878,-1.05082113313271
57,capital_median_2022,-15376.416137165419,-0.3253079701837893
58,capital_median_2022,-54000.25586738961,-1.1424452531020102
59,capital_median_2022,-23205.69115880874,-0.49094640911400345
60,capital_median_2022,-59485.817489747176,-1.2584994038721649
61,capital_median_2022,-902.819730320276,-0.019100319040045426
62,capital_median_2022,-14263.871656661962,-0.3017706528100104
63,capital_median_2022,-23711.233967593347,-0.5016418210682385
64,capital_median_2022,7835.7535342449555,0.16577550024316579
65,capital_median_2022,-27627.887340985064,-0.5845036887131936
66,capital_median_2022,-23672.939724940145,-0.500831656837763
67,capital_median_2022,-27148.979281631327,-0.5743717693307268
68,capital_median_2022,-67130.64673027306,-1.4202356537533163
69,capital_median_2022,15153.464925878281,0.3205911489592045
70,capital_median_2022,-31817.956216690625,-0.6731500149264567
71,capital_median_2022,11586.119363358157,0.2451193398240037
72,capital_median_2022,-7890.291374785098,-0.16692931879529463
81,capital_median_2022,40272.11055862144,0.8520085840534092
82,capital_median_2022,35913.615483142115,0.7597989837530367
83,capital_median_2022,-41262.10010976356,-0.8729530933924083
84,capital_median_2022,-18796.696946483244,-0.39766843426153003
85,capital_median_2022,-42007.455486295235,-0.8887220503744605
86,capital_median_2022,-37400.32068065225,-0.7912521550089014
87,capital_median_2022,13117.774780802283,0.277523491118104
88,capital_median_2022,37895.77597305589,0.8017341525075956
89,capital_median_2022,-40912.033300013776,-0.8655469772797489
90,capital_median_2022,-47813.64376558563,-1.0115594727485573
91,capital_median_2022,-26660.85535574815,-0.5640448763726599
92,capital_median_2022,-65963.73952675477,-1.395548222665141
93,capital_median_2022,-51032.90288642273,-1.0796670630188232
94,capital_median_2022,15843.18370301163,0.33518304172442315
95,capital_median_2022,-23800.529258341558,-0.5035309784324218
96,capital_median_2022,-46619.591389818714,-0.9862977504337583
97,capital_median_2022,-16330.22778381766,-0.34548708916328497
98,capital_median_2022,-32922.495258498704,-0.6965179668909496
99,capital_median_2022,10627.668764242204,0.22484207780543522
100,capital_median_2022,-32113.386445197102,-0.679400223499707
101,capital_median_2022,-33628.2257569604,-0.7114486083293315
102,capital_median_2022,-75510.99698841987,-1.5975328020346775
111,capital_median_2022,-19668.39529455616,-0.4161103402098714
112,capital_median_2022,20493.62665385136,0.433569176913404
113,capital_median_2022,-33195.15113200352,-0.7022863545293508
114,capital_median_2022,-56400.20664392659,-1.1932193157113862
115,capital_median_2022,-16386.262853332883,-0.3466725835307954
116,capital_median_2022,-25069.143490708637,-0.5303701532567888
117,capital_median_2022,-22812.42261773927,-0.48262630450111976
118,capital_median_2022,-39000.8587638882,-0.8251136081859435
119,capital_median_2022,-18132.580962362408,-0.38361820169538763
120,capital_median_2022,-64474.3773114857,-1.3640388387621813
121,capital_median_2022,-38641.30948786838,-0.8175068782353698
131,capital_median_2022,-757.4113689425285,-0.016024017093897263
135,capital_median_2022,129388.93794409078,2.7373903249855616
136,capital_median_2022,-9876.266053073574,-0.20894518163793008
137,capital_median_2022,85993.70631706106,1.8193080754993818
138,capital_median_2022,-8690.315770765505,-0.183854869588945
139,capital_median_2022,123710.1996916178,2.6172492727639107
141,capital_median_2022,43794.98100134623,0.92653946450827
151,capital_median_2022,159820.1107249637,3.38120114275671
152,capital_median_2022,179098.0702652206,3.7890513096215535
153,capital_median_2022,-24678.83540882323,-0.5221126809867987
154,capital_median_2022,129618.16316106258,2.742239880914774
155,capital_median_2022,42465.25601223638,0.8984074125885482
156,capital_median_2022,85787.58689822955,1.8149473526132813
157,capital_median_2022,-46205.249258269,-0.9775318067591285
158,capital_median_2022,57138.48659296706,1.2088385828739894
159,capital_median_2022,48836.66044172796,1.033202713631955
160,capital_median_2022,125259.35110430125,2.6500235744654193
161,capital_median_2022,112820.57468762234,2.386865171910261
172,capital_median_2022,-15521.346296705102,-0.32837415515157975
173,capital_median_2022,-33491.9145109338,-0.708564767624022
176,capital_median_2022,18665.15629971824,0.3948855217535658
177,capital_median_2022,-5204.219360886287,-0.1101019913599442
178,capital_median_2022,5562.678080292564,0.1176856491749075
180,capital_median_2022,-14193.145403825562,-0.30027434745877163
181,capital_median_2022,-58552.5655853074,-1.2387552528297343
182,capital_median_2022,12857.851586733625,0.2720244797807489
191,capital_median_2022,-23313.25582568186,-0.49322207875846724
192,capital_median_2022,4191.856046687462,0.08868413612678983
193,capital_median_2022,-11936.48577144614,-0.25253179432698725
194,capital_median_2022,23343.279034569787,0.4938572585724509
195,capital_median_2022,30339.953630414224,0.641880958666602
196,capital_median_2022,342.6894870088581,0.007250039308752046
197,capital_median_2022,-1727.8133386754198,-0.03655412581495015
198,capital_median_2022,-28.644889478033292,-0.0006060196842430782
199,capital_median_2022,-4387.316909710949,-0.09281936347972604
200,capital_median_2022,-4736.645922368261,-0.10020987054067805
211,capital_median_2022,-51358.932790480845,-1.0865646473038901
213,capital_median_2022,43831.66503467804,0.9273155626780172
214,capital_median_2022,-32501.090443344438,-0.6876026030102748
215,capital_median_2022,63216.511060642835,1.3374270513876614
216,capital_median_2022,40803.23498940017,0.8632452083064452
218,capital_median_2022,10901.680053712334,0.23063914102158484
219,capital_median_2022,-17876.729184168857,-0.3782053264265605
220,capital_median_2022,-45863.78464057087,-0.970307681144807
221,capital_median_2022,43794.74223162499,0.9265344130260088
223,capital_median_2022,-9528.678870475502,-0.20159152524464483
224,capital_median_2022,-26440.193739693816,-0.5593764944964301
225,capital_median_2022,-19430.551800934394,-0.4110784534918405
226,capital_median_2022,4609.7340281601355,0.0975248852795657
227,capital_median_2022,21132.16803343341,0.4470783456440889
228,capital_median_2022,-60740.663447337865,-1.285047293036695
230,capital_median_2022,-27241.137279188915,-0.5763214909598909
231,capital_median_2022,-50597.75000262496,-1.0704608409651861
241,capital_median_2022,34740.25382904717,0.7349750004151686
242,capital_median_2022,18880.65509278675,0.39944467743228923
243,capital_median_2022,-37300.01403577278,-0.7891300382067412
244,capital_median_2022,-12082.296627878612,-0.2556166115765776
245,capital_median_2022,-38283.044448040164,-0.8099273179623727
